ts_event,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,symbol,best_level_ofi,multi_level_ofi,integrated_ofi
2024-10-21 11:55:34.079261198+00:00,2024-10-21 11:55:34.079261198+00:00,10,2,38,C,B,0,233.67,139,130,166298,11447051,AAPL,-139,-139,-45.978254422577734
2024-10-21 11:55:35.302921978+00:00,2024-10-21 11:55:35.302921978+00:00,10,2,38,C,B,0,233.67,2,130,166810,11448345,AAPL,-2,-2,-43.75240245796251
2024-10-21 11:55:35.303067914+00:00,2024-10-21 11:55:35.303067914+00:00,10,2,38,C,B,0,233.67,3,130,166174,11448346,AAPL,-3,-840,-115.05310769954544
2024-10-21 11:55:35.304531207+00:00,2024-10-21 11:55:35.304531207+00:00,10,2,38,A,B,0,233.67,2,130,166908,11448347,AAPL,2,839,27.597044067517086
2024-10-21 11:55:35.305736838+00:00,2024-10-21 11:55:35.305736838+00:00,10,2,38,C,B,0,233.67,2,130,166111,11448348,AAPL,-2,-839,-115.03686060491319
2024-10-21 11:55:35.374212373+00:00,2024-10-21 11:55:35.374212373+00:00,10,2,38,C,B,0,233.55,400,130,166138,11448379,AAPL,-400,-838,-95.89582566969051
2024-10-21 11:55:35.374226300+00:00,2024-10-21 11:55:35.374226300+00:00,10,2,38,A,B,2,233.5,200,130,166376,11448380,AAPL,0,601,20.47990230101335
2024-10-21 11:55:38.243671650+00:00,2024-10-21 11:55:38.243671650+00:00,10,2,38,C,A,0,233.73,200,130,166586,11450385,AAPL,200,1410,72.08326288658927
2024-10-21 11:55:38.243683612+00:00,2024-10-21 11:55:38.243683612+00:00,10,2,38,A,A,0,233.75,200,130,166213,11450386,AAPL,200,200,-40.470489342252456
2024-10-21 11:55:38.298336797+00:00,2024-10-21 11:55:38.298336797+00:00,10,2,38,A,B,2,233.51,200,130,166278,11450436,AAPL,0,200,-22.28317366208405
2024-10-21 11:55:38.572413983+00:00,2024-10-21 11:55:38.572413983+00:00,10,2,38,A,A,0,233.74,200,130,166562,11450747,AAPL,200,1410,72.08326288658927
2024-10-21 11:55:44.733510979+00:00,2024-10-21 11:55:44.733510979+00:00,10,2,38,A,B,0,233.55,29,130,166622,11455418,AAPL,29,666,40.22156866605057
2024-10-21 11:55:44.791957886+00:00,2024-10-21 11:55:44.791957886+00:00,10,2,38,C,B,1,233.54,27,130,166361,11455485,AAPL,0,-637,-127.19021945911204
2024-10-21 11:55:51.293948230+00:00,2024-10-21 11:55:51.293948230+00:00,10,2,38,A,A,0,233.73,100,130,166785,11459624,AAPL,100,1110,49.760877476526204
2024-10-21 11:55:51.294217665+00:00,2024-10-21 11:55:51.294217665+00:00,10,2,38,C,A,0,233.73,100,130,165826,11459625,AAPL,100,1110,49.760877476526204
2024-10-21 11:55:51.365188500+00:00,2024-10-21 11:55:51.365188500+00:00,10,2,38,C,B,2,233.51,200,130,165978,11459674,AAPL,0,-601,-107.91971883840945
2024-10-21 11:55:51.401597368+00:00,2024-10-21 11:55:51.401597368+00:00,10,2,38,A,B,2,233.47,200,130,166005,11459719,AAPL,0,601,20.47990230101335
2024-10-21 11:55:53.213328704+00:00,2024-10-21 11:55:53.213328704+00:00,10,2,38,A,A,6,233.81,26,130,166402,11460545,AAPL,0,425,-13.611192100550904
2024-10-21 11:55:53.213365167+00:00,2024-10-21 11:55:53.213365167+00:00,10,2,38,C,A,4,233.79,27,130,166197,11460546,AAPL,0,477,-6.191033417776846
2024-10-21 11:55:54.691386316+00:00,2024-10-21 11:55:54.691386316+00:00,10,2,38,A,B,2,233.47,200,130,166092,11461460,AAPL,0,200,-22.28317366208405
2024-10-21 11:55:54.691398035+00:00,2024-10-21 11:55:54.691398035+00:00,10,2,38,C,A,0,233.74,200,130,166816,11461461,AAPL,200,1409,71.94731295578518
2024-10-21 11:55:54.691407713+00:00,2024-10-21 11:55:54.691407713+00:00,10,2,38,A,A,1,233.76,200,130,166118,11461462,AAPL,0,1208,68.62966562731468
2024-10-21 11:55:54.745856609+00:00,2024-10-21 11:55:54.745856609+00:00,10,2,38,C,B,2,233.47,200,130,165890,11461600,AAPL,0,-200,-65.15664287531204
2024-10-21 11:55:54.745868744+00:00,2024-10-21 11:55:54.745868744+00:00,10,2,38,A,B,2,233.48,200,130,166362,11461601,AAPL,0,200,-22.28317366208405
2024-10-21 11:55:54.762492206+00:00,2024-10-21 11:55:54.762492206+00:00,10,2,38,C,B,0,233.55,29,130,166136,11461707,AAPL,-29,-640,-109.07316860299339
2024-10-21 11:55:54.762530320+00:00,2024-10-21 11:55:54.762530320+00:00,10,2,38,A,B,0,233.56,28,130,166163,11461708,AAPL,28,639,21.617104970965052
2024-10-21 11:55:55.306692496+00:00,2024-10-21 11:55:55.306692496+00:00,10,2,38,C,B,2,233.48,200,130,166080,11462057,AAPL,0,-601,-107.91971883840945
2024-10-21 11:55:55.306705027+00:00,2024-10-21 11:55:55.306705027+00:00,10,2,38,A,B,2,233.46,400,130,166646,11462058,AAPL,0,801,41.91663690762735
2024-10-21 11:55:55.361082355+00:00,2024-10-21 11:55:55.361082355+00:00,10,2,38,A,A,0,233.75,200,130,166492,11462096,AAPL,200,1408,71.87908455376025
2024-10-21 11:55:55.706105479+00:00,2024-10-21 11:55:55.706105479+00:00,10,2,38,A,B,2,233.47,200,130,166534,11462281,AAPL,0,200,-22.28317366208405
2024-10-21 11:55:58.151580102+00:00,2024-10-21 11:55:58.151580102+00:00,10,2,38,A,B,2,233.47,200,130,166473,11463546,AAPL,0,200,-22.28317366208405
2024-10-21 11:56:07.493655598+00:00,2024-10-21 11:56:07.493655598+00:00,10,2,38,C,A,7,234.0,2,130,166628,11471731,AAPL,0,-2,-43.866702923778355
2024-10-21 11:56:10.953492365+00:00,2024-10-21 11:56:10.953492365+00:00,10,2,38,C,A,0,233.75,200,130,166670,11474926,AAPL,-200,-200,-46.96932719514365
2024-10-21 11:56:10.953504236+00:00,2024-10-21 11:56:10.953504236+00:00,10,2,38,A,A,1,233.77,200,130,166429,11474927,AAPL,0,200,-30.074227863711645
2024-10-21 11:56:11.008155483+00:00,2024-10-21 11:56:11.008155483+00:00,10,2,38,C,B,2,233.47,200,130,166279,11475150,AAPL,0,-200,-65.15664287531204
2024-10-21 11:56:11.008167451+00:00,2024-10-21 11:56:11.008167451+00:00,10,2,38,A,B,2,233.48,400,130,166369,11475151,AAPL,0,400,-0.84643905547005
2024-10-21 11:56:11.038752302+00:00,2024-10-21 11:56:11.038752302+00:00,10,2,38,C,B,0,233.56,28,130,166158,11475414,AAPL,-28,-839,-130.49365611497515
2024-10-21 11:56:11.038803026+00:00,2024-10-21 11:56:11.038803026+00:00,10,2,38,A,B,0,233.57,26,130,166067,11475415,AAPL,26,837,43.0213453883146
2024-10-21 11:56:14.982879375+00:00,2024-10-21 11:56:14.982879375+00:00,10,2,38,C,A,1,233.77,200,130,166139,11478870,AAPL,0,-200,-57.36558867368446
2024-10-21 11:56:14.982891924+00:00,2024-10-21 11:56:14.982891924+00:00,10,2,38,A,A,2,233.78,200,130,166125,11478871,AAPL,0,200,-22.28317366208405
2024-10-21 11:56:15.036962807+00:00,2024-10-21 11:56:15.036962807+00:00,10,2,38,A,A,1,233.77,200,130,166345,11478943,AAPL,0,0,-51.510962470325644
2024-10-21 11:56:15.039085832+00:00,2024-10-21 11:56:15.039085832+00:00,10,2,38,C,A,4,233.81,26,130,166790,11478955,AAPL,0,824,39.22847633559838
2024-10-21 11:56:15.039203352+00:00,2024-10-21 11:56:15.039203352+00:00,10,2,38,A,A,4,233.84,28,130,166234,11478956,AAPL,0,826,39.509486905802945
2024-10-21 11:56:17.922879284+00:00,2024-10-21 11:56:17.922879284+00:00,10,2,38,C,A,4,233.84,28,130,165937,11481519,AAPL,0,826,39.509486905802945
2024-10-21 11:56:17.922956219+00:00,2024-10-21 11:56:17.922956219+00:00,10,2,38,A,A,4,233.83,30,130,166059,11481520,AAPL,0,828,39.7904974760075
2024-10-21 11:56:23.203362495+00:00,2024-10-21 11:56:23.203362495+00:00,10,2,38,C,A,1,233.77,200,130,166136,11484712,AAPL,0,-200,-57.36558867368446
2024-10-21 11:56:23.203374367+00:00,2024-10-21 11:56:23.203374367+00:00,10,2,38,A,A,2,233.78,200,130,166164,11484713,AAPL,0,200,-22.28317366208405
2024-10-21 11:56:23.230980890+00:00,2024-10-21 11:56:23.230980890+00:00,10,2,38,A,B,2,233.49,400,130,166669,11484750,AAPL,0,400,-0.84643905547005
2024-10-21 11:56:23.259005865+00:00,2024-10-21 11:56:23.259005865+00:00,10,2,38,A,B,2,233.5,200,130,166357,11484879,AAPL,0,200,-22.28317366208405
2024-10-21 11:56:23.260424017+00:00,2024-10-21 11:56:23.260424017+00:00,10,2,38,C,B,0,233.57,26,130,166034,11484896,AAPL,-26,-637,-109.0244273190967
2024-10-21 11:56:23.260520532+00:00,2024-10-21 11:56:23.260520532+00:00,10,2,38,A,B,0,233.58,27,130,166296,11484897,AAPL,27,638,21.60085787633283
2024-10-21 11:56:24.985297090+00:00,2024-10-21 11:56:24.985297090+00:00,10,2,38,C,B,2,233.5,200,130,166021,11486304,AAPL,0,-601,-107.91971883840945
2024-10-21 11:56:24.985309618+00:00,2024-10-21 11:56:24.985309618+00:00,10,2,38,A,B,2,233.48,400,130,166249,11486305,AAPL,0,801,41.91663690762735
2024-10-21 11:56:25.053201827+00:00,2024-10-21 11:56:25.053201827+00:00,10,2,38,A,A,1,233.77,200,130,166441,11486393,AAPL,0,0,-51.510962470325644
2024-10-21 11:56:29.970611371+00:00,2024-10-21 11:56:29.970611371+00:00,10,2,38,A,A,7,234.0,1,130,166288,11488797,AAPL,0,1,-43.6465109411579
2024-10-21 11:56:34.567796323+00:00,2024-10-21 11:56:34.567796323+00:00,10,2,38,C,A,1,233.77,200,130,165890,11492628,AAPL,0,-200,-57.36558867368446
2024-10-21 11:56:34.567809267+00:00,2024-10-21 11:56:34.567809267+00:00,10,2,38,A,A,2,233.78,200,130,166251,11492629,AAPL,0,200,-22.28317366208405
2024-10-21 11:56:34.623413180+00:00,2024-10-21 11:56:34.623413180+00:00,10,2,38,A,A,1,233.77,200,130,166458,11492694,AAPL,0,0,-51.510962470325644
2024-10-21 11:56:42.272625996+00:00,2024-10-21 11:56:42.272625996+00:00,10,2,38,A,B,2,233.49,200,130,166280,11497144,AAPL,0,200,-22.28317366208405
2024-10-21 11:56:43.878708550+00:00,2024-10-21 11:56:43.878708550+00:00,10,2,38,A,A,0,233.72,100,130,166858,11498282,AAPL,100,1512,92.25265678079592
2024-10-21 11:56:43.878991240+00:00,2024-10-21 11:56:43.878991240+00:00,10,2,38,C,A,0,233.72,100,130,166840,11498283,AAPL,100,1512,92.25265678079592
2024-10-21 11:56:47.448697059+00:00,2024-10-21 11:56:47.448697059+00:00,10,2,38,C,A,1,233.77,200,130,166697,11501263,AAPL,0,-200,-57.36558867368446
2024-10-21 11:56:47.557683879+00:00,2024-10-21 11:56:47.557683879+00:00,10,2,38,A,A,1,233.77,200,130,165994,11501298,AAPL,0,200,-30.074227863711645
2024-10-21 11:56:51.014654312+00:00,2024-10-21 11:56:51.014654312+00:00,10,2,38,A,B,2,233.49,200,130,166542,11503024,AAPL,0,200,-22.28317366208405
2024-10-21 11:56:51.014666179+00:00,2024-10-21 11:56:51.014666179+00:00,10,2,38,C,A,1,233.77,200,130,166155,11503025,AAPL,0,-200,-57.36558867368446
2024-10-21 11:56:51.014676787+00:00,2024-10-21 11:56:51.014676787+00:00,10,2,38,A,A,3,233.79,200,130,166051,11503026,AAPL,0,1053,65.00330016187405
2024-10-21 11:56:55.866035650+00:00,2024-10-21 11:56:55.866035650+00:00,10,2,38,A,A,2,233.78,200,130,166660,11506229,AAPL,0,1253,86.44003476848805
2024-10-21 11:57:04.890399029+00:00,2024-10-21 11:57:04.890399029+00:00,10,2,38,A,A,0,233.72,100,130,168286,11513463,AAPL,100,1512,112.34978474294527
